,score,session_id
158,1.0190584170175966e-05,7110
159,-3.0851342804695527e-07,23753
160,4.903672456407668e-06,25578
161,0.00012116549361447244,28579
162,-5.836208545863855e-06,15211
163,5.405793051565508e-05,2894
164,3.5559678416821297e-06,11025
165,0.0,11695
166,-1.4510833139036928e-06,7083
167,6.254955084486956e-05,16262
168,5.150650458623427e-05,23342
169,2.9684733949146043e-05,21639
170,-2.0732186274342374e-05,21913
171,0.0,26352
172,-1.8283209609740844e-05,21651
173,-8.186824513355122e-06,1977
174,-5.773057522328917e-06,21124
175,0.0,19665
176,-1.780943453740474e-05,20198
177,5.209005251879573e-06,15229
178,0.0,21633
179,0.0,18224
180,4.998462145155232e-05,25840
181,3.651555180813381e-06,22416
182,0.0,25462
183,1.4734249888462871e-05,14711
184,8.805785072155844e-05,17307
185,-5.5976543816041434e-05,5666
186,0.0,15238
187,0.0,17447
188,0.0,3546
189,0.0,19796
190,0.00010862135735092046,26879
191,0.0,27025
192,0.0,2254
193,0.0,15235
194,-2.313850710352158e-07,19269
195,1.943634596695732e-05,22053
196,4.997917534360638e-05,5508
197,-5.641831443580386e-07,21922
198,-4.1093988615852804e-05,14556
199,-5.094637694670289e-06,4335
200,0.0,26218
201,0.0,27418
202,0.0,26748
203,-2.111007235049301e-05,19662
204,0.0,12454
205,0.0,26227
206,-1.6196954972465253e-06,12478
207,-2.7317646237393564e-06,6565
208,0.0,3674
209,0.0,11278
210,1.691019853134301e-05,14047
211,0.0,11829
212,3.4938475493269965e-05,664
213,1.903878434490819e-05,26629
214,-2.2904787884839225e-05,25319
215,0.0,25971
216,2.144126169751454e-05,13505
217,7.838940564888079e-05,1974
218,9.85119159644573e-06,4210
219,0.0,26236
220,0.0,18766
221,0.0,9334
222,0.0,22297
223,-6.154842889537351e-06,25828
224,1.9634159062487278e-05,6303
225,-3.1197827116194186e-05,15747
226,4.859086491739475e-07,25051
227,-1.3776681022526732e-07,2891
228,2.0365520955606594e-05,3945
229,0.0,17057
230,3.2393909944930515e-06,21895
231,0.0,11567
232,0.0,4198
233,3.6173509570012414e-05,10641
234,-5.58374246420895e-06,5928
